product_id,gtin,store_id,product_name,brand,variant,size_value,size_unit,price,price_per_kg,price_per_l,observed_at,store_name,store_address,source,notes
domol_proszek_do_prania_ubrań_kolorowych_1350g,4305615596389,rossmann_bielsko_biała_mostowa_5,Proszek do prania ubrań kolorowych,Domol,,1350,g,17.99,13.33,,2026-09-05T09:58:00+02:00,Rossmann,"ul. Mostowa 5, 43-300 Bielsko-Biała",Zdjęcie paragonu i opakowania użytkownika,Oryginalna nazwa na opakowaniu (de): Color-Waschmittel
dove_kostka_myjąca_beauty_cream_bar_4x90g_360g,8720181481529,rossmann_bielsko_biała_mostowa_5,Kostka myjąca,Dove,Beauty Cream Bar 4 × 90 g,360,g,23.99,66.64,,2026-09-05T09:58:00+02:00,Rossmann,"ul. Mostowa 5, 43-300 Bielsko-Biała",Zdjęcie paragonu i opakowania użytkownika,Oryginalna nazwa na opakowaniu (en): beauty cream bar
truskawki_liofilizowane_global_food_pyłek_proszek_500g,,erli_global_food,Truskawki liofilizowane,Global Food,Pyłek/proszek,500,g,94.60,189.20,,2026-09-06T12:22:22+02:00,ERLI / Global-Food,,https://erli.pl/produkt/truskawki-liofilizowane-500g-pylek-proszek-naturalne-bez-cukru,217084932
zielona_herbata_sencha_midori_pierwszy_zbiór_2x100g_200g,5904157450853,allegro_matcha_midori,Zielona herbata Sencha,Midori,Pierwszy zbiór 2 × 100 g,200,g,85.00,425.00,,2026-09-06T12:25:40+02:00,Allegro / Matcha_Midori,,https://allegro.pl/produkt/midori-sencha-japonska-zielona-herbata-lisciasta-200g-094969f7-0032-403d-9e47-77887bb65a31?offerId=17821141861,
100_whey_gold_standard_optimum_nutrition_podwójna_czekolada_4540g,,gymbeam,100% Whey Gold Standard,Optimum Nutrition,Podwójna czekolada,4540,g,669.00,147.36,,2026-09-06T12:35:49+02:00,GymBeam,,https://gymbeam.pl/100-whey-gold-standard-optimum-nutrition.html,
orzechy_włoskie_łuskane_połówki_naturalne_1000g,5908062943240,allegro_pistachio_sk,Orzechy włoskie łuskane,,Połówki naturalne,1000,g,29.45,29.45,,2026-09-07T15:00:00+02:00,Allegro / PISTACHIO_SK,,https://allegro.pl/oferta/orzechy-wloskie-luskane-1kg-1000g-naturalne-18581619047,
płatki_owsiane_rolpol_agra_górskie_grube_20000g,5907750430475,allegro_robek50,Płatki owsiane,Rolpol Agra,Górskie grube,20000,g,92.00,4.60,,2026-09-10T12:18:00+02:00,Allegro / ROBEK50,,https://allegro.pl/oferta/platki-owsiane-gorskie-grube-20kg-zdrowa-polska-11838278667,
worki_do_zamrażania_kuchcik_6l_30x40cm_50szt,5902365029175,allegro_marketleo_pl,Worki do zamrażania,Kuchcik,"6 l, 30 × 40 cm",50,szt,5.89,,,2026-09-10T12:18:00+02:00,Allegro / marketleo_pl,,https://allegro.pl/oferta/kuchcik-worki-do-zamrazania-mrozenia-zywnosci-na-mrozonki-6l-30x40cm-50szt-15329046107,
